subject,predicate,object,sentence
Iraq War,is the subject of,Arlington West The Film,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Cindy Sheehan,is a member of,Gold Star Families for Peace,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Fernando Suarez,is a member of,Gold Star Families for Peace,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Jane Bright,is a member of,Gold Star Families for Peace,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Bill Mitchell,is a member of,Gold Star Families for Peace,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Vickie Castro,is a member of,Gold Star Families for Peace,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Nadia McCaffrey,is a member of,Gold Star Families for Peace,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Karen Meredith,is a member of,Gold Star Families for Peace,"Arlington West The Film is 2006 documentary about Iraq War by Peter Dudar Sally Marr . The title refers to Arlington West , temporary cemeteries in Santa Barbara Santa Monica , California which serve as memorials to those who have been killed in Iraq . The film features 105 interviews , mostly with young soldiers who have served in Iraq , talking about their experiences there . It also features members of Gold Star Families for Peace , whose sons or daughters died in Iraq . Among these parents are Cindy Sheehan , Fernando Suarez , Jane Bright , Bill Mitchell , Vickie Castro , Nadia McCaffrey , Karen Meredith ."
Fuego en la sangre,is a film from,1966,Fuego en la sangre is 1966 Argentine film .
Cautiva en la selva,is a film from,1969,Cautiva en la selva is 1969 Argentine film .
El Demonio en la sangre,is a film from,1964,El Demonio en la sangre is 1964 Argentine film .
Harry W. Gerstad,born on,"June 11, 1909","Harry W. Gerstad , born Harry Donald Gerstad ( June 11 , 1909 – July 17 , 2002 ) was American film editor who sometimes directed films ."
Harry W. Gerstad,died on,"July 17, 2002","Harry W. Gerstad , born Harry Donald Gerstad ( June 11 , 1909 – July 17 , 2002 ) was American film editor who sometimes directed films ."
Harry W. Gerstad,was American film editor,American film editor who sometimes directed films,"Harry W. Gerstad , born Harry Donald Gerstad ( June 11 , 1909 – July 17 , 2002 ) was American film editor who sometimes directed films ."
Harry W. Gerstad,edited as well as directed for,1950s program Adventures of Superman,The Academy Award-winning editor also worked on television . He edited as well as directed for 1950s program Adventures of Superman .
Harry W. Gerstad,worked for,Bing Crosby Productions Batjac Productions,"In 1960s he worked for Bing Crosby Productions Batjac Productions . Gerstad retired to Palm Springs , California in 1973 ."
Harry W. Gerstad,retired to,"Palm Springs, California","In 1960s he worked for Bing Crosby Productions Batjac Productions . Gerstad retired to Palm Springs , California in 1973 ."
The Fighting Men,directed by,Camillo Mastrocinque,The Fighting Men is 1950 Italian melodrama film directed by Camillo Mastrocinque Roberto Savarese .
The Fighting Men,directed by,Roberto Savarese,The Fighting Men is 1950 Italian melodrama film directed by Camillo Mastrocinque Roberto Savarese .
Peter Levin,"is director of film, television theatre","American director of film, television theatre","Peter Levin is American director of film , television theatre ."
Brian Patrick Kennedy,is director of Peabody Essex Museum,"Irish- born art museum director who has worked in Ireland Australia , now lives works in United States","Brian Patrick Kennedy ( born 5 November 1961 ) is Irish- born art museum director who has worked in Ireland Australia , now lives works in United States . He is currently director of Peabody Essex Museum ."
Brian Patrick Kennedy,was director of Toledo Museum of Art in Ohio,He was director of Toledo Museum of Art in Ohio from 2010 to 2019,"Brian Patrick Kennedy ( born 5 November 1961 ) is Irish- born art museum director who has worked in Ireland Australia , now lives works in United States . He is currently director of Peabody Essex Museum . He was director of Toledo Museum of Art in Ohio from 2010 to 2019 ."
Brian Patrick Kennedy,was director of Hood Museum of Art,He was director of Hood Museum of Art from 2005 to 2010,"Brian Patrick Kennedy ( born 5 November 1961 ) is Irish- born art museum director who has worked in Ireland Australia , now lives works in United States . He is currently director of Peabody Essex Museum . He was director of Hood Museum of Art from 2005 to 2010 ."
Brian Patrick Kennedy,was director of National Gallery of Australia ( Canberra ),He was director of National Gallery of Australia ( Canberra ) from 1997- 2004,"Brian Patrick Kennedy ( born 5 November 1961 ) is Irish- born art museum director who has worked in Ireland Australia , now lives works in United States . He is currently director of Peabody Essex Museum . He was director of National Gallery of Australia ( Canberra ) from 1997- 2004 ."
S.N. Mathur,was Director of Indian Intelligence Bureau between September 1975 February 1980,Director of Indian Intelligence Bureau between September 1975 February 1980,S.N . Mathur was Director of Indian Intelligence Bureau between September 1975 February 1980 . He was also Director General of Police in Punjab .
S.N. Mathur,was Director General of Police in Punjab,Director General of Police in Punjab,S.N . Mathur was Director of Indian Intelligence Bureau between September 1975 February 1980 . He was also Director General of Police in Punjab .
Mathur,was,Director of Indian Intelligence Bureau between September 1975 February 1980,"Mathur was Director of Indian Intelligence Bureau between September 1975 February 1980 . He was also Director General of Police in Punjab . Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . 13 Fighting Men is 1960 American drama film directed by Harry W. Gerstad written by Robert Hamner Jack W. Thomas . The film stars Grant Williams , Brad Dexter , Carole Mathews , Robert Dix , Richard Garland Richard Crane . The film was released in April 1960 , by 20th Century Fox . Ian Barry is Australian director of film TV ."
Dana Blankstein- Cohen,is,Director of Israeli Academy of Film Television,"Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . 13 Fighting Men is 1960 American drama film directed by Harry W. Gerstad written by Robert Hamner Jack W. Thomas . The film stars Grant Williams , Brad Dexter , Carole Mathews , Robert Dix , Richard Garland Richard Crane . The film was released in April 1960 , by 20th Century Fox . Ian Barry is Australian director of film TV ."
Terence D. Robinson,was,male wrestler,Terence D. Robinson ( date of birth death unknown ) was male wrestler who competed for England .
Terence D. Robinson,competed for,England,Terence D. Robinson ( date of birth death unknown ) was male wrestler who competed for England .
Theodred II,died between,995 997,"The date of Theodreds consecration unknown , date of his death was sometime between 995 997 ."
Etan Boritzer,was,American writer of children literature,Etan Boritzer ( born 1950 ) is American writer of children literature who is best known for his book What is God ? first published in 1989 .
Etan Boritzer,is best known for,book What is God ?,Etan Boritzer ( born 1950 ) is American writer of children literature who is best known for his book What is God ? first published in 1989 .
What is God ?,was first published in,1989,Etan Boritzer ( born 1950 ) is American writer of children literature who is best known for his book What is God ? first published in 1989 .
What is God ?,is a part of,What is ? illustrated childrens book series on character education difficult subjects for children,"His best selling What is ? illustrated childrens book series on character education difficult subjects for children is popular teaching guide for parents , teachers child- life professionals ."
What is God ?,caused controversy from,religious fundamentalists,"The other current books in What is ? series include What is Love ? , What is Death ? , What is Beautiful ? , What is Funny ? , What is Right ? , What is Peace ? , What is Money ? , What is Dreaming ? , What is Friend ? , What is True ? , What is Family ? , What is Feeling ? The series is now also translated into 15 languages ."
What is God ?,is part of,What is ? illustrated childrens book series,"The other current books in What is ? series include What is Love ? , What is Death ? , What is Beautiful ? , What is Funny ? , What is Right ? , What is Peace ? , What is Money ? , What is Dreaming ? , What is Friend ? , What is True ? , What is Family ? , What is Feeling ? The series is now also translated into 15 languages ."
Patricia Kaas,is French singer actress,born 5 December 1966 in Forbach,Patricia Kaas ( born 5 December 1966 in Forbach ) is French singer actress .
Patricia Kaas,has sold over 17 million records worldwide,since appearance of her 1988 debut album,"Since appearance of her 1988 debut album , Mademoiselle chante ... , Kaas has sold over 17 million records worldwide ."
Patricia Kaas,had her greatest success in,"Germany , Switzerland , Belgium , Canada , Russia , Finland , Ukraine , South Korea","She had her greatest success in Germany , Switzerland , Belgium , Canada , Russia , Finland , Ukraine , South Korea with her third album Je te dis vous ."
Patricia Kaas,made her film debut in,And Now ... Ladies Gentlemen with Jeremy Irons,"In 2002 , Kaas made her film debut in And Now ... Ladies Gentlemen with Jeremy Irons ."
Patricia Kaas,represented France in Eurovision Song Contest 2009 in Moscow,finished in eighth place,"She represented France in Eurovision Song Contest 2009 in Moscow , finished in eighth place ."
O Valencia,is fifth single by indie rock band The Decemberists,first released from their fourth studio album,"O Valencia is fifth single by indie rock band The Decemberists , first released from their fourth studio album , The Crane Wife ."
The Decemberists,music was written by,The Decemberists,The music was written by The Decemberists .
The Decemberists,lyrics by,Colin Meloy,It tells story of two star- crossed lovers . The singer falls in love with person who belongs to opposing gang . It tells story of two star- crossed lovers . The music was written by The Decemberists lyrics by Colin Meloy .
Valencia,released from,The Crane Wife,"O Valencia is fifth single by indie rock band The Decemberists , first released from their fourth studio album , The Crane Wife ."
The Crane Wife,was released,The Decemberists,"O Valencia is fifth single by indie rock band The Decemberists , first released from their fourth studio album , The Crane Wife ."
The Crane Wife,was written by,The Decemberists,"The music was written by The Decemberists lyrics by Colin Meloy . It tells story of two star- crossed lovers . The singer falls in love with person who belongs to opposing gang . At end of song , singers lover jumps in to defend singer , who is confronting his lovers brother ( singers sworn enemy ) is killed by bullet intended for singer ."
The Crane Wife,has lyrics by,Colin Meloy,"The music was written by The Decemberists lyrics by Colin Meloy . It tells story of two star- crossed lovers . The singer falls in love with person who belongs to opposing gang . At end of song , singers lover jumps in to defend singer , who is confronting his lovers brother ( singers sworn enemy ) is killed by bullet intended for singer ."
Billy Milano,is musician,M.O.D.,"Billy Milano is Bronx- born heavy metal musician now based in Austin , Texas . He is singer and- occasionally- guitarist bassist of crossover thrash band M.O.D. , he was also singer of its predecessor , Stormtroopers of Death ."
Billy Milano,was singer of,Stormtroopers of Death,"Billy Milano is Bronx- born heavy metal musician now based in Austin , Texas . He is singer and- occasionally- guitarist bassist of crossover thrash band M.O.D. , he was also singer of its predecessor , Stormtroopers of Death ."
Billy Milano,was singer of,United Forces,"Billy Milano is Bronx- born heavy metal musician now based in Austin , Texas . He is singer and- occasionally- guitarist bassist of crossover thrash band M.O.D. , he was also singer of its predecessor , Stormtroopers of Death ."
Mademoiselle chante le blues,is song,Patricia Kaas,"Mademoiselle chante le blues ( Eng Mademoiselle Sings Blues , possibly referring to Billie Holiday song Lady Sings Blues ) is name of 1987 song recorded by French singer Patricia Kaas . It was her first single from her debut studio album , Mademoiselle chante ... , on which it features as ninth track , her second single overall ."
Mademoiselle chante le blues,is single,Patricia Kaas,"Mademoiselle chante le blues ( Eng Mademoiselle Sings Blues , possibly referring to Billie Holiday song Lady Sings Blues ) is name of 1987 song recorded by French singer Patricia Kaas . It was her first single from her debut studio album , Mademoiselle chante ... , on which it features as ninth track , her second single overall ."
Mademoiselle chante le blues,is from,Mademoiselle chante ...,"Mademoiselle chante le blues ( Eng Mademoiselle Sings Blues , possibly referring to Billie Holiday song Lady Sings Blues ) is name of 1987 song recorded by French singer Patricia Kaas . It was her first single from her debut studio album , Mademoiselle chante ... , on which it features as ninth track , her second single overall ."
Mademoiselle chante le blues,is ninth track,Mademoiselle chante ...,"Mademoiselle chante le blues ( Eng Mademoiselle Sings Blues , possibly referring to Billie Holiday song Lady Sings Blues ) is name of 1987 song recorded by French singer Patricia Kaas . It was her first single from her debut studio album , Mademoiselle chante ... , on which it features as ninth track , her second single overall ."
Mademoiselle chante le blues,is debut studio album,Patricia Kaas,"Mademoiselle chante le blues ( Eng Mademoiselle Sings Blues , possibly referring to Billie Holiday song Lady Sings Blues ) is name of 1987 song recorded by French singer Patricia Kaas . It was her first single from her debut studio album , Mademoiselle chante ... , on which it features as ninth track , her second single overall ."
It was her first single from her debut studio album,released in November 1987,Mademoiselle chante ...,"It was her first single from her debut studio album , Mademoiselle chante ... , on which it features as ninth track , her second single overall . Released in November 1987 , it was Kaas first hit , reaching top ten in France . It remains one of most emblematic songs of singer . Bernard Bonvoisin , known as Bernie Bonvoisin ( born 9 July 1956 in Nanterre , Hauts- de- Seine ) , is French hard rock singer film director . He is best known for having been singer of Trust . He was one of best friends of Bon Scott singer of AC DC together they recorded song Ride On which was one of last songs by Bon Scott . Brian Saunders ( date of birth death unknown ) was male weightlifter who competed for England ."
Bernie Bonvoisin,is known as,Bernie Bonvoisin,"Bernie Bonvoisin ( born 9 July 1956 in Nanterre , Hauts- de- Seine ) , is French hard rock singer film director . He is best known for having been singer of Trust . He was one of best friends of Bon Scott singer of AC DC together they recorded song Ride On which was one of last songs by Bon Scott ."
Bernie Bonvoisin,was born on,9 July 1956,"Bernie Bonvoisin ( born 9 July 1956 in Nanterre , Hauts- de- Seine ) , is French hard rock singer film director . He is best known for having been singer of Trust . He was one of best friends of Bon Scott singer of AC DC together they recorded song Ride On which was one of last songs by Bon Scott ."
Bernie Bonvoisin,was a singer of,Trust,"Bernie Bonvoisin ( born 9 July 1956 in Nanterre , Hauts- de- Seine ) , is French hard rock singer film director . He is best known for having been singer of Trust . He was one of best friends of Bon Scott singer of AC DC together they recorded song Ride On which was one of last songs by Bon Scott ."
Bon Scott,was a singer of,AC/DC,"Bernie Bonvoisin ( born 9 July 1956 in Nanterre , Hauts- de- Seine ) , is French hard rock singer film director . He is best known for having been singer of Trust . He was one of best friends of Bon Scott singer of AC/DC together they recorded song Ride On which was one of last songs by Bon Scott ."
Bernie Bonvoisin and Bon Scott,recorded song,Ride On,"Bernie Bonvoisin ( born 9 July 1956 in Nanterre , Hauts- de- Seine ) , is French hard rock singer film director . He is best known for having been singer of Trust . He was one of best friends of Bon Scott singer of AC/DC together they recorded song Ride On which was one of last songs by Bon Scott ."
Brian Saunders,was a male weightlifter,who competed for England,Brian Saunders ( date of birth death unknown ) was male weightlifter who competed for England .
The screenplay,written by,Ennio De Concini,"It was written by Ennio De Concini , Carlo Lizzani , Giuliano Montaldo Luciano Vincenzoni ."
The screenplay,written by,Carlo Lizzani,"It was written by Ennio De Concini , Carlo Lizzani , Giuliano Montaldo Luciano Vincenzoni ."
The screenplay,written by,Giuliano Montaldo,"It was written by Ennio De Concini , Carlo Lizzani , Giuliano Montaldo Luciano Vincenzoni ."
The screenplay,written by,Luciano Vincenzoni,"It was written by Ennio De Concini , Carlo Lizzani , Giuliano Montaldo Luciano Vincenzoni ."
The screenplay,shot at,Cinecitt Studios in Rome,It was shot at Cinecitt Studios in Rome .
Tournament of Champions ( TOC ),held at,University of Kentucky every year on last weekend in April,Tournament of Champions ( TOC ) is national high school debate tournament held at University of Kentucky every year on last weekend in April .
Tournament of Champions ( TOC ),held at,University of Kentucky,Tournament of Champions ( TOC ) is national high school debate tournament held at University of Kentucky every year on last weekend in April .
Tournament of Champions ( TOC ),considered to be,national championship of National Circuit,"Tournament of Champions is considered to be national championship of National Circuit , ."
Tournament of Champions ( TOC ),considered one of the most prestigious,national championship of National Circuit,"Tournament of Champions is considered to be national championship of National Circuit , ."
Tournament of Champions,created by,Dr. J.W. Patterson,"The tournament was created by Dr. J.W. Patterson, former director of debate at University of Kentucky."
Tournament of Champions,inception year,1971,"Since its 1971 inception, Tournament of Champions serves as pinnacle of high school debate, allowing best debaters in United States to compete without less experienced debaters affecting rankings."
Tournament of Champions,serves as,pinnacle of high school debate,"Since its 1971 inception, Tournament of Champions serves as pinnacle of high school debate, allowing best debaters in United States to compete without less experienced debaters affecting rankings."
Tournament of Champions,allows debaters to compete without,less experienced debaters affecting rankings,"Since its 1971 inception, Tournament of Champions serves as pinnacle of high school debate, allowing best debaters in United States to compete without less experienced debaters affecting rankings."
Tournament of Champions,holds competition in,"policy debate, Lincoln-Douglas debate, public forum debate, Congressional Debate individual events","Tournament of Champions currently holds competition in policy debate, Lincoln–Douglas debate, public forum debate, Congressional Debate individual events."
Tournament of Champions,operates independently by,University of Kentucky,"Nevertheless, Tournament of Champions operates independently by University of Kentucky."
Jean de la Flche,also known as,Jean de Beaugency Seigneur de la Flche ( c.1030 – c.1097 ),"Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman ."
Jean de la Flche,born about,"1030 in La Flche , Sarthe","Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe ."
Jean de la Flche,married,Paula of Maine,"In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
Paula of Maine,daughter of,"Herbert I , Count of Maine","In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
"Elias I , Count of Maine",married,Mathilde de Chteau- du- Loir,"Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe . In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
"Geoffrey Plantagenet , Count of Anjou",father of,Henry II of England,"Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe . In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
Geoffrey III of Anjou,father of,"Geoffrey Plantagenet , Count of Anjou","Geoffrey III of Anjou ( in French Geoffroy III Anjou ) ( 1040 – 1096 ) , called le Barbuthe Bearded ) , was count of Anjou 1060- 68 . Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe . In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
"Elias I , Count of Maine",parents of,"Geoffrey Plantagenet , Count of Anjou","Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe . In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
Mathilde de Chteau- du- Loir,great- grandparents of,"Geoffrey Plantagenet , Count of Anjou","Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe . In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
"Herbert I , Count of Maine",father of,Paula of Maine,"In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe . In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine ."
"Herbert I , Count of Maine",father of,"Elias I , Count of Maine","Jean de la Flche , also known as Jean de Beaugency , Seigneur de la Flche ( c.1030 – c.1097 ) was 11th- century French nobleman . He was youngest son of Lancelin I de Beaugency Adelberg de Maine was born about 1030 in La Flche , Sarthe . In 1059 , he married Paula of Maine , daughter of Herbert I , Count of Maine . Jean Paula were parents of Elias I , Count of Maine , who married Mathilde de Chteau- du- Loir , great- grandparents of Geoffrey Plantagenet , Count of Anjou , father of Henry II of England ."
Geoffrey V,born on,24 August 1113,"Geoffrey V ( 24 August 1113 – 7 September 1151 ) called Handsome or Fair Plantagenetwas Count of Anjou , Touraine , Maine by inheritance from 1129 , also Duke of Normandy by conquest from 1144 ."
Geoffrey V,died on,7 September 1151,"Geoffrey V ( 24 August 1113 – 7 September 1151 ) called Handsome or Fair Plantagenetwas Count of Anjou , Touraine , Maine by inheritance from 1129 , also Duke of Normandy by conquest from 1144 ."
Geoffrey V,called,Handsome or Fair Plantagenet,"Geoffrey V ( 24 August 1113 – 7 September 1151 ) called Handsome or Fair Plantagenetwas Count of Anjou , Touraine , Maine by inheritance from 1129 , also Duke of Normandy by conquest from 1144 ."
Geoffrey V,was Count of Anjou,by inheritance from 1129,"Geoffrey V ( 24 August 1113 – 7 September 1151 ) called Handsome or Fair Plantagenetwas Count of Anjou , Touraine , Maine by inheritance from 1129 , also Duke of Normandy by conquest from 1144 ."
Geoffrey V,was Duke of Normandy,by conquest from 1144,"Geoffrey V ( 24 August 1113 – 7 September 1151 ) called Handsome or Fair Plantagenetwas Count of Anjou , Touraine , Maine by inheritance from 1129 , also Duke of Normandy by conquest from 1144 ."
Geoffrey V,married to,Empress Matilda,"His marriage to Empress Matilda , daughter heiress of Henry I of England , produced son , Henry Curtmantle , who succeeded to English throne as King Henry II ( 1154–1189 ) was first of Plantagenet dynasty to rule England name Plantagenet was taken from Geoffreys epithet ."
Henry Curtmantle,was son of,Geoffrey V and Empress Matilda,"His marriage to Empress Matilda , daughter heiress of Henry I of England , produced son , Henry Curtmantle , who succeeded to English throne as King Henry II ( 1154–1189 ) was first of Plantagenet dynasty to rule England name Plantagenet was taken from Geoffreys epithet ."
Henry Curtmantle,reigned as,King Henry II,"His marriage to Empress Matilda , daughter heiress of Henry I of England , produced son , Henry Curtmantle , who succeeded to English throne as King Henry II ( 1154–1189 ) was first of Plantagenet dynasty to rule England name Plantagenet was taken from Geoffreys epithet ."
Geoffrey V,gave rise to name,Angevin,"Fulk II of Anjou ( c. 905 960 ) , called ( Good ) was Count of Anjou from 942 to his death . Geoffreys ancestral domain of Anjou gave rise to name Angevin for three kings of England ( Henry II his son heir , Henrys sons Richard John ) , what became known as Angevin Empire in 12th century ."
Fulk II of Anjou,called,Good,"Fulk II of Anjou ( c. 905 960 ) , called ( Good ) was Count of Anjou from 942 to his death ."
Angevin Empire,was known as,Angevin Empire in 12th century,"Geoffreys ancestral domain of Anjou gave rise to name Angevin for three kings of England ( Henry II his son heir , Henrys sons Richard John ) , what became known as Angevin Empire in 12th century ."
Nicholas Vaux,born around,c. 1460,"Nicholas Vaux , 1st Baron Vaux of Harrowden ( c. 1460 – 14 May 1523 ) was soldier courtier in England early member of House of Commons . He was son of Lancastrian loyalists , Sir William Vaux of Harrowden Katherine Penyson ( or Peniston as she is sometimes called in later sources ) , lady of household of Queen Margaret of Anjou , wife of Lancastrian king , Henry VI of England . Katherine was daughter of Gregorio Panizzone of Courticelle ( modern Cortiglione ) , in Piedmont , Italy which was at that time subject to King Ren of Anjou , father of Queen Margaret of Anjou . He grew up during years of Yorkist rule , later served under founder of Tudor dynasty , Henry VII . Emma ( or Emme ) of Anjou ( c.1140 –c.1214 ) was illegitimate daughter of Geoffrey Plantagenet , Count of Anjou , thus half- sister of King Henry II of England . She was married to Dafydd ab Owain Gwynedd , Welsh prince ."
Katherine Penyson,was of household of,Queen Margaret of Anjou,"Katherine was daughter of Gregorio Panizzone of Courticelle ( modern Cortiglione ) , in Piedmont , Italy which was at that time subject to King Ren of Anjou , father of Queen Margaret of Anjou . He grew up during years of Yorkist rule , later served under founder of Tudor dynasty , Henry VII . Emma ( or Emme ) of Anjou ( c.1140 –c.1214 ) was illegitimate daughter of Geoffrey Plantagenet , Count of Anjou , thus half- sister of King Henry II of England . She was married to Dafydd ab Owain Gwynedd , Welsh prince ."
Gregorio Panizzone,was from,Courticelle ( modern Cortiglione ),"Katherine was daughter of Gregorio Panizzone of Courticelle ( modern Cortiglione ) , in Piedmont , Italy which was at that time subject to King Ren of Anjou , father of Queen Margaret of Anjou . He grew up during years of Yorkist rule , later served under founder of Tudor dynasty , Henry VII . Emma ( or Emme ) of Anjou ( c.1140 –c.1214 ) was illegitimate daughter of Geoffrey Plantagenet , Count of Anjou , thus half- sister of King Henry II of England . She was married to Dafydd ab Owain Gwynedd , Welsh prince ."
She,was married to,Dafydd ab Owain Gwynedd,"She was married to Dafydd ab Owain Gwynedd, Welsh prince."
Emma de Dunstanville,is also known as,Emma of Anjou,"Emma de Dunstanville ( 1200- 1264 ) , daughter of Guy V de Laval, or alternatively with her mother , Emma de Dunstanville , who is sometimes also known as Emma of Anjou."
Emma de Dunstanville,is also known as,Emma de Laval,"Emma de Dunstanville ( 1200- 1264 ) , daughter of Guy V de Laval, or alternatively with her mother , Emma de Dunstanville , who is sometimes also known as Emma of Anjou."
