subject,predicate,object,metadata
The film,has grossed,"8,336,420 from DVD sales","In United States , film has grossed 8,336,420 from DVD sales 6,739,162 from Blu-ray sales , making total of 15,075,582 . A Million Ways to Die in West received mixed reviews from critics."
The film,has grossed,"6,739,162 from Blu-ray sales","In United States , film has grossed 8,336,420 from DVD sales 6,739,162 from Blu-ray sales , making total of 15,075,582 . A Million Ways to Die in West received mixed reviews from critics."
The film,has grossed,"15,075,582 total from DVD and Blu-ray sales","In United States , film has grossed 8,336,420 from DVD sales 6,739,162 from Blu-ray sales , making total of 15,075,582 . A Million Ways to Die in West received mixed reviews from critics."
Seth MacFarlane,is,American actor,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres ."
Seth MacFarlane,is,animator,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres ."
Seth MacFarlane,is,filmmaker,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres ."
Seth MacFarlane,is,singer,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres ."
Seth MacFarlane,created,Family Guy,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . The Orville ( 2017\u2013present ) , co-creator of TV series American Dad ( 2005\u2013present ) The Cleveland Show ( 2009\u20132013 ) ."
Seth MacFarlane,co-created,American Dad,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . The Orville ( 2017\u2013present ) , co-creator of TV series American Dad ( 2005\u2013present ) The Cleveland Show ( 2009\u20132013 ) ."
Seth MacFarlane,co-created,The Cleveland Show,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . The Orville ( 2017\u2013present ) , co-creator of TV series American Dad ( 2005\u2013present ) The Cleveland Show ( 2009\u20132013 ) ."
Seth MacFarlane,wrote,Ted,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) ."
Seth MacFarlane,directed,Ted,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) ."
Seth MacFarlane,directed,Ted 2,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) ."
Seth MacFarlane,directed,A Million Ways to Die in West,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) ."
Seth MacFarlane,graduate of,Rhode Island School of Design,"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . He also wrote , directed , starred in films Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) . The film was first announced on December 3 , 2012 , marking MacFarlanes second foray into live-action directing , after 2012s Ted . On January 30 , 2013 , it was announced that Charlize Theron had joined film . El Dorado ( 1966 ) ."
Seth MacFarlane,crew included,Oklahoma ( 1955 ),"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . He also wrote , directed , starred in films Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) . The film was first announced on December 3 , 2012 , marking MacFarlanes second foray into live-action directing , after 2012s Ted . On January 30 , 2013 , it was announced that Charlize Theron had joined film . El Dorado ( 1966 ) ."
Seth MacFarlane,crew included,The Man Who Shot Liberty Valance ( 1962 ),"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . He also wrote , directed , starred in films Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) . The film was first announced on December 3 , 2012 , marking MacFarlanes second foray into live-action directing , after 2012s Ted . On January 30 , 2013 , it was announced that Charlize Theron had joined film . El Dorado ( 1966 ) ."
Seth MacFarlane,crew included,El Dorado ( 1966 ),"In Seth MacFarlane Seth Woodbury MacFarlane ( born October 26 , 1973 ) is American actor , animator , filmmaker , singer , working primarily in animation comedy , as well as live-action other genres . He also wrote , directed , starred in films Ted ( 2012 ) , its sequel Ted 2 ( 2015 ) , A Million Ways to Die in West ( 2014 ) . The film was first announced on December 3 , 2012 , marking MacFarlanes second foray into live-action directing , after 2012s Ted . On January 30 , 2013 , it was announced that Charlize Theron had joined film . El Dorado ( 1966 ) ."
film,first announced on,"December 3, 2012","The film was first announced on December 3, 2012 , marking MacFarlanes second foray into live-action directing , after 2012s Ted ."
film,announced on,"January 30, 2013","On January 30 , 2013 , it was announced that Charlize Theron had joined film ."
Charlize Theron,joined film,"on January 30, 2013","On January 30 , 2013 , it was announced that Charlize Theron had joined film ."
Charlize Theron,wanted role in comedy,as she wanted opportunity to work in comedy .,"Charlize Theron later revealed that she begged for her role , as she wanted opportunity to work in comedy ."
film,announced on,February 11,"On February 11 , 2013 , it was announced that Amanda Seyfried had joined film ."
Amanda Seyfried,joined film,"on February 11, 2013","On February 11 , 2013 , it was announced that Amanda Seyfried had joined film ."
film,announced on,March 6,"On March 6 , 2013 , it was announced that Liam Neeson Giovanni Ribisi had joined film ."
Liam Neeson,joined film,"on March 6, 2013","On March 6 , 2013 , it was announced that Liam Neeson Giovanni Ribisi had joined film ."
Liam Neeson,is twin of Marissa,"Liam Neeson is twin of Marissa , who is Scientologist .","Liam Neeson , who nearly . His twin sister , Marissa , is also Scientologist ."
Marissa,is twin of Liam Neeson,"Liam Neeson is twin of Marissa , who is Scientologist .","Liam Neeson , who nearly . His twin sister , Marissa , is also Scientologist ."
Liam Neeson,is American actor,"Liam Neeson is American film television actor known for his roles in TV series Sneaky Pete , films Avatar , A Million Ways to Die in West Ted .","Liam Neeson , who nearly . His twin sister , Marissa , is also Scientologist . He also had recurring roles in My Name Is Earl Friends . His father , Albert Anthony Ribisi , is Italian-American musician who had been keyboard player in People , his mother , Gay ( ne Landrum ) , is manager of actors writers ."
Liam Neeson,is twin of Marissa,"Liam Neeson is twin of Marissa , who is Scientologist .","Liam Neeson , who nearly . His twin sister , Marissa , is also Scientologist . He also had recurring roles in My Name Is Earl Friends . His father , Albert Anthony Ribisi , is Italian-American musician who had been keyboard player in People , his mother , Gay ( ne Landrum ) , is manager of actors writers ."
Anna,teaches,Albert to shoot,"Anna then spends week teaching Albert how to shoot . During barn dance night before on list in year when she didnt come out with anything ... any actress whos got that kind of skill , beauty , ferocity ought to have permanent place in Hollywood ."
Anna,took on role of wife of infamous sheepherder in,A Million Ways to Die in West,"In 2014 , Theron took on role of wife of infamous sheepherder in western comedy film A Million Ways to Die in West , directed by Seth MacFarlane , which was met with mediocre reviews moderate box office returns ."
A Million Ways to Die in West,directed by,Seth MacFarlane,"In 2014 , Theron took on role of wife of infamous sheepherder in western comedy film A Million Ways to Die in West , directed by Seth MacFarlane , which was met with mediocre reviews moderate box office returns ."
A Million Ways to Die in West,met with,mediocre reviews moderate box office returns,"In 2014 , Theron took on role of wife of infamous sheepherder in western comedy film A Million Ways to Die in West , directed by Seth MacFarlane , which was met with mediocre reviews moderate box office returns ."
A Million Ways to Die in West,starring,Theron,"In 2014 , Theron took on role of wife of infamous sheepherder in western comedy film A Million Ways to Die in West , directed by Seth MacFarlane , which was met with mediocre reviews moderate box office returns ."
A Million Ways to Die in West,starring,Seth MacFarlane,"In 2014 , Theron took on role of wife of infamous sheepherder in western comedy film A Million Ways to Die in West , directed by Seth MacFarlane , which was met with mediocre reviews moderate box office returns ."
Lewis Anna,arrive in,Old Stump,"Lewis Anna arrive in Old Stump under guise of two siblings intending to build farm , always suppresses his Irish accent when acting"
Lewis Anna,suppresses,Irish accent,"Lewis Anna arrive in Old Stump under guise of two siblings intending to build farm , always suppresses his Irish accent when acting"
Lewis Anna,intending to,build farm,"Lewis Anna arrive in Old Stump under guise of two siblings intending to build farm , always suppresses his Irish accent when acting"
Lewis Anna,agree to,play part of Clinch,"Lewis Anna arrive in Old Stump under guise of two siblings intending to build farm , always suppresses his Irish accent when acting agreed to play part of Clinch only on condition that he could use his Irish accent"
Lewis Anna,demanded,use Irish accent,"Lewis Anna arrive in Old Stump under guise of two siblings intending to build farm , always suppresses his Irish accent when acting agreed to play part of Clinch only on condition that he could use his Irish accent In interview on The Tonight Show Starring Jimmy Fallon , Neeson remarked that he made this demand because episode of MacFarlanes Family Guy had previously made joke out of juxtaposition of Neeson playing cowboy with Irish accent"
Episode of Family Guy,made joke out of,Neeson playing cowboy with Irish accent,"Lewis Anna arrive in Old Stump under guise of two siblings intending to build farm , always suppresses his Irish accent when acting agreed to play part of Clinch only on condition that he could use his Irish accent In interview on The Tonight Show Starring Jimmy Fallon , Neeson remarked that he made this demand because episode of MacFarlanes Family Guy had previously made joke out of juxtaposition of Neeson playing cowboy with Irish accent"
Sarah Silverman,cast to play prostitute,film,"In interview on The Tonight Show Starring Jimmy Fallon , Neeson remarked that he made this demand because episode of MacFarlanes Family Guy had previously made joke out of juxtaposition of Neeson playing cowboy with Irish accent On March 18 , it was announced that Sarah Silverman was cast to play prostitute in film"
Media Rights executive producer,co-finance film,film,"On May 10 , it was announced that film would be co-financed by Media Rights executive producer"
Series,cancelled after one season,film,"On May 10 , it was announced that film would be co-financed by Media Rights executive producer The series was cancelled after one season"
Sulkin,co-wrote comedy Ted,Ted,"In 2012 , Sulkin co-wrote well-received comedy Ted , along with MacFarlane Wild"
Sulkin,along with Family Guy writers,special material writers for 85th Academy Awards,"In 2012 , Sulkin co-wrote well-received comedy Ted , along with MacFarlane Wild Sulkin , along with Family Guy writers Julius Sharpe , Danny Smith , John Viener , Patrick Meighan Seth MacFarlane were special material writers for 85th Academy Awards , in which latter was host"
Sulkin,co-wrote script of A Million Ways to Die in West,A Million Ways to Die in West,"In addition to television writing , Sulkin has garnered sizable following on social networking service , Twitter In 2014 film A Million Ways to Die in West , along with MacFarlane Wild"
Sulkin,has sizable following on Twitter,Twitter,"In addition to television writing , Sulkin has garnered sizable following on social networking service , Twitter"
Sulkin,co-wrote,A Million Ways to Die in West,"Along with MacFarlane Wild . In addition to television writing , Sulkin has garnered sizable following on social networking service , Twitter . In March 2011 , Sulkin caused controversy co-produced by Mik Moore Ari Wallach ( pair that also co-produced The Great Schlep Scissor Sheldon ) . Silverman voiced Vanellope von Schweetz , one of main characters in 2012 Disney animated film , Wreck-It Ralph . She is in creative team that writes produces content for YouTube comedy channel called Jash . The JASH channel premiered online March 10 , 2013 . In Seth MacFarlanes western comedy film , A Million Ways to Die in West , she played Ruth , Capital Fuzzy Door Productions , along with Bluegrass Films distributed by Universal Studios . On May 11 , 2013 , it was announced that Neil Patrick Harris had joined film . On May 29 , 2013 , MacFarlane announced that Bill Maher had joined cast ."
Silverman,voiced,Vanellope von Schweetz,"One of main characters in 2012 Disney animated film , Wreck-It Ralph . She is in creative team that writes produces content for YouTube comedy channel called Jash . The JASH channel premiered online March 10 , 2013 . In Seth MacFarlanes western comedy film , A Million Ways to Die in West , she played Ruth , Capital Fuzzy Door Productions , along with Bluegrass Films distributed by Universal Studios . On May 11 , 2013 , it was announced that Neil Patrick Harris had joined film . On May 29 , 2013 , MacFarlane announced that Bill Maher had joined cast ."
Jash channel,premiered online,"March 10 , 2013","She is in creative team that writes produces content for YouTube comedy channel called Jash . The JASH channel premiered online March 10 , 2013 . In Seth MacFarlanes western comedy film , A Million Ways to Die in West , she played Ruth , Capital Fuzzy Door Productions , along with Bluegrass Films distributed by Universal Studios . On May 11 , 2013 , it was announced that Neil Patrick Harris had joined film . On May 29 , 2013 , MacFarlane announced that Bill Maher had joined cast ."
A Million Ways to Die in West,played,Ruth,"In Seth MacFarlanes western comedy film , A Million Ways to Die in West , she played Ruth , Capital Fuzzy Door Productions , along with Bluegrass Films distributed by Universal Studios . On May 11 , 2013 , it was announced that Neil Patrick Harris had joined film . On May 29 , 2013 , MacFarlane announced that Bill Maher had joined cast ."
A Million Ways to Die in West,distributed by,Universal Studios,"In Seth MacFarlanes western comedy film , A Million Ways to Die in West , she played Ruth , Capital Fuzzy Door Productions , along with Bluegrass Films distributed by Universal Studios . On May 11 , 2013 , it was announced that Neil Patrick Harris had joined film . On May 29 , 2013 , MacFarlane announced that Bill Maher had joined cast ."
A Million Ways to Die in West,distributed by,Bluegrass Films,"In Seth MacFarlanes western comedy film , A Million Ways to Die in West , she played Ruth , Capital Fuzzy Door Productions , along with Bluegrass Films distributed by Universal Studios . On May 11 , 2013 , it was announced that Neil Patrick Harris had joined film . On May 29 , 2013 , MacFarlane announced that Bill Maher had joined cast ."
Neil Patrick Harris,joined,A Million Ways to Die in West,"On May 11 , 2013 , it was announced that Neil Patrick Harris had joined film ."
Bill Maher,joined,A Million Ways to Die in West,"On May 29 , 2013 , MacFarlane announced that Bill Maher had joined cast ."
Dallas,is,Lone victory in conference championship or Super Bowl wearing blue jerseys,Dallass lone victory in conference championship or Super Bowl wearing blue jerseys was in 1978 NFC Championship game 1978
Dallas,is,NFC Championship game 1978,Dallass lone victory in conference championship or Super Bowl wearing blue jerseys was in 1978 NFC Championship game 1978
Dallas,is,1978 NFC Championship game,Dallass lone victory in conference championship or Super Bowl wearing blue jerseys was in 1978 NFC Championship game 1978
Dallas,is,1978,Dallass lone victory in conference championship or Super Bowl wearing blue jerseys was in 1978 NFC Championship game 1978
Hairspray,is,1988 American dance comedy film,"Hairspray ( 1988 film ) Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,written by,John Waters,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Ricki Lake,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Divine,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Debbie Harry,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Sonny Bono,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Jerry Stiller,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Leslie Ann Powers,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Colleen Fitzpatrick,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,starring,Michael St. Gerard,"Hairspray is 1988 American dance comedy film written directed by John Waters , starring Ricki Lake , Divine , Debbie Harry , Sonny Bono , Jerry Stiller , Leslie Ann Powers , Colleen Fitzpatrick , Michael St. Gerard ."
Hairspray,set in,"1962 Baltimore, Maryland","Hairspray was dramatic departure from Waterss earlier works , with much broader intended audience . Hairsprays PG is mildest rating Waters film has received most of his previous films were rated X by MPAA . Set in 1962 Baltimore , Maryland , film revolves around self-proclaimed pleasantly plump teenager Tracy Turnblad as she pursues stardom as dancer on local TV on King of Hill , starred in television movie Baby Cakes ."
Hairspray,PG rating,mildest rating Waters film has received,"Hairspray was dramatic departure from Waterss earlier works , with much broader intended audience . Hairsprays PG is mildest rating Waters film has received most of his previous films were rated X by MPAA . Set in 1962 Baltimore , Maryland , film revolves around self-proclaimed pleasantly plump teenager Tracy Turnblad as she pursues stardom as dancer on local TV on King of Hill , starred in television movie Baby Cakes ."
Hairspray,starring,Tracy Turnblad,"Hairspray was dramatic departure from Waterss earlier works , with much broader intended audience . Hairsprays PG is mildest rating Waters film has received most of his previous films were rated X by MPAA . Set in 1962 Baltimore , Maryland , film revolves around self-proclaimed pleasantly plump teenager Tracy Turnblad as she pursues stardom as dancer on local TV on King of Hill , starred in television movie Baby Cakes ."
The cast recording,earned,2003 Grammy Award for Best Musical Theater Album,The cast recording earned 2003 Grammy Award for Best Musical Theater Album
The cast recording,contains,seventeen songs from musical,The cast recording contains seventeen songs from musical
The cast recording,with music by,Marc Shaiman,"The cast recording contains seventeen songs from musical, with music by Marc Shaiman lyrics by Hairspray ( 2007 soundtrack)"
The cast recording,with lyrics by,Hairspray ( 2007 soundtrack),"The cast recording contains seventeen songs from musical, with music by Marc Shaiman lyrics by Hairspray ( 2007 soundtrack)"
Hairspray ( 2007 soundtrack),is soundtrack album for,Hairspray ( 2007 film),"The cast recording contains seventeen songs from musical, with music by Marc Shaiman lyrics by Hairspray ( 2007 soundtrack) Hairspray Soundtrack to Motion Picture is soundtrack album for 2007 New Line Cinema musical film Hairspray"
Hairspray ( 2007 film),is adaptation of,Hairspray ( 2002 musical),"The film is adaptation of 2002 Broadway musical of same name, itself adapted from John Waterss original 1988 film Hairspray ( 2007 soundtrack) Hairspray Soundtrack to Motion Picture is soundtrack album for 2007 New Line Cinema musical film Hairspray"
Hairspray ( 2002 musical),is adaptation of,John Waterss original 1988 film,"The film is adaptation of 2002 Broadway musical of same name, itself adapted from John Waterss original 1988 film Hairspray ( 2007 soundtrack) Hairspray Soundtrack to Motion Picture is soundtrack album for 2007 New Line Cinema musical film Hairspray"
Hairspray ( 2002 musical),features performances from films cast,John Travolta,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Michelle Pfeiffer,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Christopher Walken,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Amanda Bynes,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,James Marsden,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Queen Latifah,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Brittany Snow,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Zac Efron,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Elijah Kelley,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),features performances from films cast,Nikki Blonsky,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),lead character of,Tracy Turnblad,"The film features performances from films cast, which includes John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Nikki Blonsky as lead character of Tracy Turnblad"
Hairspray ( 2002 musical),has sold upwards of,"1,200,000 copies in USA","The album has sold upwards of 1,200,000 copies in USA, has been certified Platinum by RIAA"
Hairspray ( 2002 musical),has been certified Platinum by,RIAA,"The album has sold upwards of 1,200,000 copies in USA, has been certified Platinum by RIAA"
Hairspray ( 2002 musical),is cast album for,Hairspray ( 2002 album) Hairspray Original Broadway Cast Recording,Hairspray ( 2002 album) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray
Hairspray ( 2002 album) Hairspray Original Broadway Cast Recording,is cast album for,Hairspray ( 2002 musical),Hairspray ( 2002 album) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray
Hairspray ( 2002 album) Hairspray Original Broadway Cast Recording,has sold upwards of,"1,200,000 copies in USA","The album has sold upwards of 1,200,000 copies in USA, has been certified Platinum by RIAA"
Hairspray ( 2002 album) Hairspray Original Broadway Cast Recording,has been certified Platinum by,RIAA,"The album has sold upwards of 1,200,000 copies in USA, has been certified Platinum by RIAA"
Velma,sings,Velmas Revenge,"An additional song not included on album is Velmas Revenge , sung by Velma after It Takes Two , which serves as short reprise of ( The Legend of ) Miss Baltimore Crabs"
Velmas Revenge,is sung by,Velma,"An additional song not included on album is Velmas Revenge , sung by Velma after It Takes Two , which serves as short reprise of ( The Legend of ) Miss Baltimore Crabs"
Velmas Revenge,serves as short reprise of,( The Legend of ) Miss Baltimore Crabs,"An additional song not included on album is Velmas Revenge , sung by Velma after It Takes Two , which serves as short reprise of ( The Legend of ) Miss Baltimore Crabs"
Hairspray ( 2002 album ),is cast album for,Hairspray Original Broadway Cast Recording,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),is cast album for,2002 musical,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),is cast album for,1988 film of same name,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,shows cast,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Harvey Fierstein,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Linda Hart,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Dick Latessa,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Kerry Butler,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Clarke Thorell,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Mary Bond Davis,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Laura Bell Bundy,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Matthew Morrison,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Corey Reynolds,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),includes performances from,Marissa Jaret suggestive number,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Hairspray ( 2002 album ),is cast album for,2007 film version of Hairspray,Hairspray ( 2002 album ) Hairspray Original Broadway Cast Recording is cast album for 2002 musical Hairspray .
Mama,is used by,Corny Collins kids dance Stricken Chicken,"A special version of Mama was recorded for films end credits in May 2007 , during final score recording process , which featured vocals from each of three women most famous for portraying Tracy Turnblad Ricki Lake from 1988 film , Marissa Jaret Winokur from original Broadway cast , Nikki Blonsky from 2007 film ."
Mama,is used in,Hairspray,"A special version of Mama was recorded for films end credits in May 2007 , during final score recording process , which featured vocals from each of three women most famous for portraying Tracy Turnblad Ricki Lake from 1988 film , Marissa Jaret Winokur from original Broadway cast , Nikki Blonsky from 2007 film ."
Harvey Fierstein,is a,"Harvey Fierstein , Toussaint McCall ( born 1934 in Monroe , Louisiana ) is American RB singer organist .","Although further singles album followed , he did not repeat its success . He continued performing recording for local record labels , in 1988 made cameo appearance in John Waters film , Hairspray , lip syncing to his hit song ."
he,did not repeat success of,further singles album,"Although further singles album followed , he did not repeat its success ."
he,continued performing recording for,local record labels,"He continued performing recording for local record labels , in 1988 made cameo appearance in John Waters film , Hairspray , lip syncing to his hit song ."
he,made cameo appearance in,John Waters film,"He continued performing recording for local record labels , in 1988 made cameo appearance in John Waters film , Hairspray , lip syncing to his hit song ."
John Waters film,Hairspray,1988 film,"The movie was supposedly taking place in 1962 Baltimore , his hit was originally recorded released workshops ) in Hairspray , musical version of John Waters 1988 film of same name ."
Hairspray,opened on Broadway on,August 2002,"After out-of-town tryout in Seattle , Hairspray opened on Broadway on August 2002 became immediate Broadway smash ."
